词语      十进制  符号化反转二进制  二进制       反转二进制 
differ       494  ○●●●○●●●●○○       00111101110  01110111100
digital      495  ●●●●○●●●●○○       00111101111  11110111100
dignity      496  ○○○○●●●●●○○       00111110000  00001111100
dilemma      497  ●○○○●●●●●○○       00111110001  10001111100
dinner       498  ○●○○●●●●●○○       00111110010  01001111100
dinosaur     499  ●●○○●●●●●○○       00111110011  11001111100
direct       500  ○○●○●●●●●○○       00111110100  00101111100
dirt         501  ●○●○●●●●●○○       00111110101  10101111100
disagree     502  ○●●○●●●●●○○       00111110110  01101111100
discover     503  ●●●○●●●●●○○       00111110111  11101111100
disease      504  ○○○●●●●●●○○       00111111000  00011111100
dish         505  ●○○●●●●●●○○       00111111001  10011111100
dismiss      506  ○●○●●●●●●○○       00111111010  01011111100
disorder     507  ●●○●●●●●●○○       00111111011  11011111100
display      508  ○○●●●●●●●○○       00111111100  00111111100
distance     509  ●○●●●●●●●○○       00111111101  10111111100
divert       510  ○●●●●●●●●○○       00111111110  01111111100
divide       511  ●●●●●●●●●○○       00111111111  11111111100
divorce      512  ○○○○○○○○○●○       01000000000  00000000010
dizzy        513  ●○○○○○○○○●○       01000000001  10000000010
doctor       514  ○●○○○○○○○●○       01000000010  01000000010
document     515  ●●○○○○○○○●○       01000000011  11000000010
dog          516  ○○●○○○○○○●○       01000000100  00100000010
doll         517  ●○●○○○○○○●○       01000000101  10100000010
dolphin      518  ○●●○○○○○○●○       01000000110  01100000010
domain       519  ●●●○○○○○○●○       01000000111  11100000010
donate       520  ○○○●○○○○○●○       01000001000  00010000010
donkey       521  ●○○●○○○○○●○       01000001001  10010000010
donor        522  ○●○●○○○○○●○       01000001010  01010000010
door         523  ●●○●○○○○○●○       01000001011  11010000010
dose         524  ○○●●○○○○○●○       01000001100  00110000010
double       525  ●○●●○○○○○●○       01000001101  10110000010
dove         526  ○●●●○○○○○●○       01000001110  01110000010
draft        527  ●●●●○○○○○●○       01000001111  11110000010
dragon       528  ○○○○●○○○○●○       01000010000  00001000010
drama        529  ●○○○●○○○○●○       01000010001  10001000010
drastic      530  ○●○○●○○○○●○       01000010010  01001000010
draw         531  ●●○○●○○○○●○       01000010011  11001000010
dream        532  ○○●○●○○○○●○       01000010100  00101000010
dress        533  ●○●○●○○○○●○       01000010101  10101000010
drift        534  ○●●○●○○○○●○       01000010110  01101000010
drill        535  ●●●○●○○○○●○       01000010111  11101000010
drink        536  ○○○●●○○○○●○       01000011000  00011000010
drip         537  ●○○●●○○○○●○       01000011001  10011000010
drive        538  ○●○●●○○○○●○       01000011010  01011000010
drop         539  ●●○●●○○○○●○       01000011011  11011000010
drum         540  ○○●●●○○○○●○       01000011100  00111000010
dry          541  ●○●●●○○○○●○       01000011101  10111000010
duck         542  ○●●●●○○○○●○       01000011110  01111000010
dumb         543  ●●●●●○○○○●○       01000011111  11111000010
dune         544  ○○○○○●○○○●○       01000100000  00000100010
during       545  ●○○○○●○○○●○       01000100001  10000100010
dust         546  ○●○○○●○○○●○       01000100010  01000100010
dutch        547  ●●○○○●○○○●○       01000100011  11000100010
duty         548  ○○●○○●○○○●○       01000100100  00100100010
dwarf        549  ●○●○○●○○○●○       01000100101  10100100010
dynamic      550  ○●●○○●○○○●○       01000100110  01100100010
eager        551  ●●●○○●○○○●○       01000100111  11100100010
eagle        552  ○○○●○●○○○●○       01000101000  00010100010
early        553  ●○○●○●○○○●○       01000101001  10010100010
earn         554  ○●○●○●○○○●○       01000101010  01010100010
earth        555  ●●○●○●○○○●○       01000101011  11010100010
easily       556  ○○●●○●○○○●○       01000101100  00110100010
east         557  ●○●●○●○○○●○       01000101101  10110100010
easy         558  ○●●●○●○○○●○       01000101110  01110100010
echo         559  ●●●●○●○○○●○       01000101111  11110100010
ecology      560  ○○○○●●○○○●○       01000110000  00001100010
economy      561  ●○○○●●○○○●○       01000110001  10001100010
edge         562  ○●○○●●○○○●○       01000110010  01001100010
edit         563  ●●○○●●○○○●○       01000110011  11001100010
educate      564  ○○●○●●○○○●○       01000110100  00101100010
effort       565  ●○●○●●○○○●○       01000110101  10101100010
egg          566  ○●●○●●○○○●○       01000110110  01101100010
eight        567  ●●●○●●○○○●○       01000110111  11101100010
either       568  ○○○●●●○○○●○       01000111000  00011100010
elbow        569  ●○○●●●○○○●○       01000111001  10011100010
elder        570  ○●○●●●○○○●○       01000111010  01011100010
electric     571  ●●○●●●○○○●○       01000111011  11011100010
elegant      572  ○○●●●●○○○●○       01000111100  00111100010
element      573  ●○●●●●○○○●○       01000111101  10111100010
elephant     574  ○●●●●●○○○●○       01000111110  01111100010
elevator     575  ●●●●●●○○○●○       01000111111  11111100010
elite        576  ○○○○○○●○○●○       01001000000  00000010010
else         577  ●○○○○○●○○●○       01001000001  10000010010
embark       578  ○●○○○○●○○●○       01001000010  01000010010
embody       579  ●●○○○○●○○●○       01001000011  11000010010
embrace      580  ○○●○○○●○○●○       01001000100  00100010010
emerge       581  ●○●○○○●○○●○       01001000101  10100010010
emotion      582  ○●●○○○●○○●○       01001000110  01100010010
employ       583  ●●●○○○●○○●○       01001000111  11100010010
empower      584  ○○○●○○●○○●○       01001001000  00010010010
empty        585  ●○○●○○●○○●○       01001001001  10010010010
enable       586  ○●○●○○●○○●○       01001001010  01010010010
enact        587  ●●○●○○●○○●○       01001001011  11010010010
end          588  ○○●●○○●○○●○       01001001100  00110010010
endless      589  ●○●●○○●○○●○       01001001101  10110010010
endorse      590  ○●●●○○●○○●○       01001001110  01110010010
enemy        591  ●●●●○○●○○●○       01001001111  11110010010
energy       592  ○○○○●○●○○●○       01001010000  00001010010
enforce      593  ●○○○●○●○○●○       01001010001  10001010010
engage       594  ○●○○●○●○○●○       01001010010  01001010010
engine       595  ●●○○●○●○○●○       01001010011  11001010010
enhance      596  ○○●○●○●○○●○       01001010100  00101010010
enjoy        597  ●○●○●○●○○●○       01001010101  10101010010
enlist       598  ○●●○●○●○○●○       01001010110  01101010010
enough       599  ●●●○●○●○○●○       01001010111  11101010010
enrich       600  ○○○●●○●○○●○       01001011000  00011010010
enroll       601  ●○○●●○●○○●○       01001011001  10011010010
ensure       602  ○●○●●○●○○●○       01001011010  01011010010
enter        603  ●●○●●○●○○●○       01001011011  11011010010
entire       604  ○○●●●○●○○●○       01001011100  00111010010
entry        605  ●○●●●○●○○●○       01001011101  10111010010
envelope     606  ○●●●●○●○○●○       01001011110  01111010010
episode      607  ●●●●●○●○○●○       01001011111  11111010010
equal        608  ○○○○○●●○○●○       01001100000  00000110010
equip        609  ●○○○○●●○○●○       01001100001  10000110010
era          610  ○●○○○●●○○●○       01001100010  01000110010
erase        611  ●●○○○●●○○●○       01001100011  11000110010
erode        612  ○○●○○●●○○●○       01001100100  00100110010
erosion      613  ●○●○○●●○○●○       01001100101  10100110010
error        614  ○●●○○●●○○●○       01001100110  01100110010
erupt        615  ●●●○○●●○○●○       01001100111  11100110010
escape       616  ○○○●○●●○○●○       01001101000  00010110010
essay        617  ●○○●○●●○○●○       01001101001  10010110010
essence      618  ○●○●○●●○○●○       01001101010  01010110010
estate       619  ●●○●○●●○○●○       01001101011  11010110010
eternal      620  ○○●●○●●○○●○       01001101100  00110110010
ethics       621  ●○●●○●●○○●○       01001101101  10110110010
evidence     622  ○●●●○●●○○●○       01001101110  01110110010
evil         623  ●●●●○●●○○●○       01001101111  11110110010
evoke        624  ○○○○●●●○○●○       01001110000  00001110010
evolve       625  ●○○○●●●○○●○       01001110001  10001110010
exact        626  ○●○○●●●○○●○       01001110010  01001110010
example      627  ●●○○●●●○○●○       01001110011  11001110010
excess       628  ○○●○●●●○○●○       01001110100  00101110010
exchange     629  ●○●○●●●○○●○       01001110101  10101110010
excite       630  ○●●○●●●○○●○       01001110110  01101110010
exclude      631  ●●●○●●●○○●○       01001110111  11101110010
excuse       632  ○○○●●●●○○●○       01001111000  00011110010
execute      633  ●○○●●●●○○●○       01001111001  10011110010
exercise     634  ○●○●●●●○○●○       01001111010  01011110010
exhaust      635  ●●○●●●●○○●○       01001111011  11011110010
exhibit      636  ○○●●●●●○○●○       01001111100  00111110010
exile        637  ●○●●●●●○○●○       01001111101  10111110010
exist        638  ○●●●●●●○○●○       01001111110  01111110010
exit         639  ●●●●●●●○○●○       01001111111  11111110010
exotic       640  ○○○○○○○●○●○       01010000000  00000001010
expand       641  ●○○○○○○●○●○       01010000001  10000001010
expect       642  ○●○○○○○●○●○       01010000010  01000001010
expire       643  ●●○○○○○●○●○       01010000011  11000001010
explain      644  ○○●○○○○●○●○       01010000100  00100001010
expose       645  ●○●○○○○●○●○       01010000101  10100001010
express      646  ○●●○○○○●○●○       01010000110  01100001010
extend       647  ●●●○○○○●○●○       01010000111  11100001010
extra        648  ○○○●○○○●○●○       01010001000  00010001010
eye          649  ●○○●○○○●○●○       01010001001  10010001010
eyebrow      650  ○●○●○○○●○●○       01010001010  01010001010
fabric       651  ●●○●○○○●○●○       01010001011  11010001010
face         652  ○○●●○○○●○●○       01010001100  00110001010
faculty      653  ●○●●○○○●○●○       01010001101  10110001010
fade         654  ○●●●○○○●○●○       01010001110  01110001010
faint        655  ●●●●○○○●○●○       01010001111  11110001010
faith        656  ○○○○●○○●○●○       01010010000  00001001010
fall         657  ●○○○●○○●○●○       01010010001  10001001010
false        658  ○●○○●○○●○●○       01010010010  01001001010
fame         659  ●●○○●○○●○●○       01010010011  11001001010
family       660  ○○●○●○○●○●○       01010010100  00101001010
famous       661  ●○●○●○○●○●○       01010010101  10101001010
fan          662  ○●●○●○○●○●○       01010010110  01101001010
fancy        663  ●●●○●○○●○●○       01010010111  11101001010
fantasy      664  ○○○●●○○●○●○       01010011000  00011001010
farm         665  ●○○●●○○●○●○       01010011001  10011001010
fashion      666  ○●○●●○○●○●○       01010011010  01011001010
fat          667  ●●○●●○○●○●○       01010011011  11011001010
fatal        668  ○○●●●○○●○●○       01010011100  00111001010
father       669  ●○●●●○○●○●○       01010011101  10111001010
fatigue      670  ○●●●●○○●○●○       01010011110  01111001010
fault        671  ●●●●●○○●○●○       01010011111  11111001010
favorite     672  ○○○○○●○●○●○       01010100000  00000101010
feature      673  ●○○○○●○●○●○       01010100001  10000101010
february     674  ○●○○○●○●○●○       01010100010  01000101010
federal      675  ●●○○○●○●○●○       01010100011  11000101010
fee          676  ○○●○○●○●○●○       01010100100  00100101010
feed         677  ●○●○○●○●○●○       01010100101  10100101010
feel         678  ○●●○○●○●○●○       01010100110  01100101010
female       679  ●●●○○●○●○●○       01010100111  11100101010
fence        680  ○○○●○●○●○●○       01010101000  00010101010
festival     681  ●○○●○●○●○●○       01010101001  10010101010
fetch        682  ○●○●○●○●○●○       01010101010  01010101010
fever        683  ●●○●○●○●○●○       01010101011  11010101010
few          684  ○○●●○●○●○●○       01010101100  00110101010
fiber        685  ●○●●○●○●○●○       01010101101  10110101010
fiction      686  ○●●●○●○●○●○       01010101110  01110101010
field        687  ●●●●○●○●○●○       01010101111  11110101010
figure       688  ○○○○●●○●○●○       01010110000  00001101010
file         689  ●○○○●●○●○●○       01010110001  10001101010
film         690  ○●○○●●○●○●○       01010110010  01001101010
filter       691  ●●○○●●○●○●○       01010110011  11001101010
final        692  ○○●○●●○●○●○       01010110100  00101101010
find         693  ●○●○●●○●○●○       01010110101  10101101010
fine         694  ○●●○●●○●○●○       01010110110  01101101010
finger       695  ●●●○●●○●○●○       01010110111  11101101010
finish       696  ○○○●●●○●○●○       01010111000  00011101010
fire         697  ●○○●●●○●○●○       01010111001  10011101010
firm         698  ○●○●●●○●○●○       01010111010  01011101010
first        699  ●●○●●●○●○●○       01010111011  11011101010
fiscal       700  ○○●●●●○●○●○       01010111100  00111101010
fish         701  ●○●●●●○●○●○       01010111101  10111101010
fit          702  ○●●●●●○●○●○       01010111110  01111101010
fitness      703  ●●●●●●○●○●○       01010111111  11111101010
fix          704  ○○○○○○●●○●○       01011000000  00000011010
flag         705  ●○○○○○●●○●○       01011000001  10000011010
flame        706  ○●○○○○●●○●○       01011000010  01000011010
flash        707  ●●○○○○●●○●○       01011000011  11000011010
flat         708  ○○●○○○●●○●○       01011000100  00100011010
flavor       709  ●○●○○○●●○●○       01011000101  10100011010
flee         710  ○●●○○○●●○●○       01011000110  01100011010
flight       711  ●●●○○○●●○●○       01011000111  11100011010
flip         712  ○○○●○○●●○●○       01011001000  00010011010
float        713  ●○○●○○●●○●○       01011001001  10010011010
flock        714  ○●○●○○●●○●○       01011001010  01010011010
floor        715  ●●○●○○●●○●○       01011001011  11010011010
flower       716  ○○●●○○●●○●○       01011001100  00110011010
fluid        717  ●○●●○○●●○●○       01011001101  10110011010
flush        718  ○●●●○○●●○●○       01011001110  01110011010
fly          719  ●●●●○○●●○●○       01011001111  11110011010
foam         720  ○○○○●○●●○●○       01011010000  00001011010
focus        721  ●○○○●○●●○●○       01011010001  10001011010
fog          722  ○●○○●○●●○●○       01011010010  01001011010
foil         723  ●●○○●○●●○●○       01011010011  11001011010
fold         724  ○○●○●○●●○●○       01011010100  00101011010
follow       725  ●○●○●○●●○●○       01011010101  10101011010
food         726  ○●●○●○●●○●○       01011010110  01101011010
foot         727  ●●●○●○●●○●○       01011010111  11101011010
force        728  ○○○●●○●●○●○       01011011000  00011011010
forest       729  ●○○●●○●●○●○       01011011001  10011011010
forget       730  ○●○●●○●●○●○       01011011010  01011011010
fork         731  ●●○●●○●●○●○       01011011011  11011011010
fortune      732  ○○●●●○●●○●○       01011011100  00111011010
forum        733  ●○●●●○●●○●○       01011011101  10111011010
forward      734  ○●●●●○●●○●○       01011011110  01111011010
fossil       735  ●●●●●○●●○●○       01011011111  11111011010
foster       736  ○○○○○●●●○●○       01011100000  00000111010
found        737  ●○○○○●●●○●○       01011100001  10000111010
fox          738  ○●○○○●●●○●○       01011100010  01000111010
fragile      739  ●●○○○●●●○●○       01011100011  11000111010
frame        740  ○○●○○●●●○●○       01011100100  00100111010
frequent     741  ●○●○○●●●○●○       01011100101  10100111010
fresh        742  ○●●○○●●●○●○       01011100110  01100111010
friend       743  ●●●○○●●●○●○       01011100111  11100111010
fringe       744  ○○○●○●●●○●○       01011101000  00010111010
frog         745  ●○○●○●●●○●○       01011101001  10010111010
front        746  ○●○●○●●●○●○       01011101010  01010111010
frost        747  ●●○●○●●●○●○       01011101011  11010111010
frown        748  ○○●●○●●●○●○       01011101100  00110111010
frozen       749  ●○●●○●●●○●○       01011101101  10110111010
fruit        750  ○●●●○●●●○●○       01011101110  01110111010
fuel         751  ●●●●○●●●○●○       01011101111  11110111010
fun          752  ○○○○●●●●○●○       01011110000  00001111010
funny        753  ●○○○●●●●○●○       01011110001  10001111010
furnace      754  ○●○○●●●●○●○       01011110010  01001111010
fury         755  ●●○○●●●●○●○       01011110011  11001111010
future       756  ○○●○●●●●○●○       01011110100  00101111010
gadget       757  ●○●○●●●●○●○       01011110101  10101111010
gain         758  ○●●○●●●●○●○       01011110110  01101111010
galaxy       759  ●●●○●●●●○●○       01011110111  11101111010
gallery      760  ○○○●●●●●○●○       01011111000  00011111010
game         761  ●○○●●●●●○●○       01011111001  10011111010
gap          762  ○●○●●●●●○●○       01011111010  01011111010
garage       763  ●●○●●●●●○●○       01011111011  11011111010
garbage      764  ○○●●●●●●○●○       01011111100  00111111010
garden       765  ●○●●●●●●○●○       01011111101  10111111010
garlic       766  ○●●●●●●●○●○       01011111110  01111111010
garment      767  ●●●●●●●●○●○       01011111111  11111111010
gas          768  ○○○○○○○○●●○       01100000000  00000000110
gasp         769  ●○○○○○○○●●○       01100000001  10000000110
gate         770  ○●○○○○○○●●○       01100000010  01000000110
gather       771  ●●○○○○○○●●○       01100000011  11000000110
gauge        772  ○○●○○○○○●●○       01100000100  00100000110
gaze         773  ●○●○○○○○●●○       01100000101  10100000110
general      774  ○●●○○○○○●●○       01100000110  01100000110
genius       775  ●●●○○○○○●●○       01100000111  11100000110
genre        776  ○○○●○○○○●●○       01100001000  00010000110
gentle       777  ●○○●○○○○●●○       01100001001  10010000110
genuine      778  ○●○●○○○○●●○       01100001010  01010000110
gesture      779  ●●○●○○○○●●○       01100001011  11010000110
ghost        780  ○○●●○○○○●●○       01100001100  00110000110
giant        781  ●○●●○○○○●●○       01100001101  10110000110
gift         782  ○●●●○○○○●●○       01100001110  01110000110
giggle       783  ●●●●○○○○●●○       01100001111  11110000110
ginger       784  ○○○○●○○○●●○       01100010000  00001000110
giraffe      785  ●○○○●○○○●●○       01100010001  10001000110
girl         786  ○●○○●○○○●●○       01100010010  01001000110
give         787  ●●○○●○○○●●○       01100010011  11001000110
glad         788  ○○●○●○○○●●○       01100010100  00101000110
glance       789  ●○●○●○○○●●○       01100010101  10101000110
glare        790  ○●●○●○○○●●○       01100010110  01101000110
glass        791  ●●●○●○○○●●○       01100010111  11101000110
glide        792  ○○○●●○○○●●○       01100011000  00011000110
glimpse      793  ●○○●●○○○●●○       01100011001  10011000110
globe        794  ○●○●●○○○●●○       01100011010  01011000110
gloom        795  ●●○●●○○○●●○       01100011011  11011000110
glory        796  ○○●●●○○○●●○       01100011100  00111000110
glove        797  ●○●●●○○○●●○       01100011101  10111000110
glow         798  ○●●●●○○○●●○       01100011110  01111000110
glue         799  ●●●●●○○○●●○       01100011111  11111000110
goat         800  ○○○○○●○○●●○       01100100000  00000100110
goddess      801  ●○○○○●○○●●○       01100100001  10000100110
gold         802  ○●○○○●○○●●○       01100100010  01000100110
good         803  ●●○○○●○○●●○       01100100011  11000100110
goose        804  ○○●○○●○○●●○       01100100100  00100100110
gorilla      805  ●○●○○●○○●●○       01100100101  10100100110
gospel       806  ○●●○○●○○●●○       01100100110  01100100110
gossip       807  ●●●○○●○○●●○       01100100111  11100100110
govern       808  ○○○●○●○○●●○       01100101000  00010100110
gown         809  ●○○●○●○○●●○       01100101001  10010100110
grab         810  ○●○●○●○○●●○       01100101010  01010100110
grace        811  ●●○●○●○○●●○       01100101011  11010100110
grain        812  ○○●●○●○○●●○       01100101100  00110100110
grant        813  ●○●●○●○○●●○       01100101101  10110100110
grape        814  ○●●●○●○○●●○       01100101110  01110100110
grass        815  ●●●●○●○○●●○       01100101111  11110100110
gravity      816  ○○○○●●○○●●○       01100110000  00001100110
great        817  ●○○○●●○○●●○       01100110001  10001100110
green        818  ○●○○●●○○●●○       01100110010  01001100110
grid         819  ●●○○●●○○●●○       01100110011  11001100110
grief        820  ○○●○●●○○●●○       01100110100  00101100110
grit         821  ●○●○●●○○●●○       01100110101  10101100110
grocery      822  ○●●○●●○○●●○       01100110110  01101100110
group        823  ●●●○●●○○●●○       01100110111  11101100110
grow         824  ○○○●●●○○●●○       01100111000  00011100110
grunt        825  ●○○●●●○○●●○       01100111001  10011100110
guard        826  ○●○●●●○○●●○       01100111010  01011100110
guess        827  ●●○●●●○○●●○       01100111011  11011100110
guide        828  ○○●●●●○○●●○       01100111100  00111100110
guilt        829  ●○●●●●○○●●○       01100111101  10111100110
guitar       830  ○●●●●●○○●●○       01100111110  01111100110
gun          831  ●●●●●●○○●●○       01100111111  11111100110
gym          832  ○○○○○○●○●●○       01101000000  00000010110
habit        833  ●○○○○○●○●●○       01101000001  10000010110
hair         834  ○●○○○○●○●●○       01101000010  01000010110
half         835  ●●○○○○●○●●○       01101000011  11000010110
hammer       836  ○○●○○○●○●●○       01101000100  00100010110
hamster      837  ●○●○○○●○●●○       01101000101  10100010110
hand         838  ○●●○○○●○●●○       01101000110  01100010110
happy        839  ●●●○○○●○●●○       01101000111  11100010110
harbor       840  ○○○●○○●○●●○       01101001000  00010010110
hard         841  ●○○●○○●○●●○       01101001001  10010010110
harsh        842  ○●○●○○●○●●○       01101001010  01010010110
harvest      843  ●●○●○○●○●●○       01101001011  11010010110
hat          844  ○○●●○○●○●●○       01101001100  00110010110
have         845  ●○●●○○●○●●○       01101001101  10110010110
hawk         846  ○●●●○○●○●●○       01101001110  01110010110
hazard       847  ●●●●○○●○●●○       01101001111  11110010110
head         848  ○○○○●○●○●●○       01101010000  00001010110
health       849  ●○○○●○●○●●○       01101010001  10001010110
heart        850  ○●○○●○●○●●○       01101010010  01001010110
heavy        851  ●●○○●○●○●●○       01101010011  11001010110
hedgehog     852  ○○●○●○●○●●○       01101010100  00101010110
height       853  ●○●○●○●○●●○       01101010101  10101010110
hello        854  ○●●○●○●○●●○       01101010110  01101010110
helmet       855  ●●●○●○●○●●○       01101010111  11101010110
help         856  ○○○●●○●○●●○       01101011000  00011010110
hen          857  ●○○●●○●○●●○       01101011001  10011010110
hero         858  ○●○●●○●○●●○       01101011010  01011010110
hidden       859  ●●○●●○●○●●○       01101011011  11011010110
high         860  ○○●●●○●○●●○       01101011100  00111010110
hill         861  ●○●●●○●○●●○       01101011101  10111010110
hint         862  ○●●●●○●○●●○       01101011110  01111010110
hip          863  ●●●●●○●○●●○       01101011111  11111010110
hire         864  ○○○○○●●○●●○       01101100000  00000110110
history      865  ●○○○○●●○●●○       01101100001  10000110110
hobby        866  ○●○○○●●○●●○       01101100010  01000110110
hockey       867  ●●○○○●●○●●○       01101100011  11000110110
hold         868  ○○●○○●●○●●○       01101100100  00100110110
hole         869  ●○●○○●●○●●○       01101100101  10100110110
holiday      870  ○●●○○●●○●●○       01101100110  01100110110
hollow       871  ●●●○○●●○●●○       01101100111  11100110110
home         872  ○○○●○●●○●●○       01101101000  00010110110
honey        873  ●○○●○●●○●●○       01101101001  10010110110
hood         874  ○●○●○●●○●●○       01101101010  01010110110
hope         875  ●●○●○●●○●●○       01101101011  11010110110
horn         876  ○○●●○●●○●●○       01101101100  00110110110
horror       877  ●○●●○●●○●●○       01101101101  10110110110
horse        878  ○●●●○●●○●●○       01101101110  01110110110
hospital     879  ●●●●○●●○●●○       01101101111  11110110110
host         880  ○○○○●●●○●●○       01101110000  00001110110
hotel        881  ●○○○●●●○●●○       01101110001  10001110110
hour         882  ○●○○●●●○●●○       01101110010  01001110110
hover        883  ●●○○●●●○●●○       01101110011  11001110110
hub          884  ○○●○●●●○●●○       01101110100  00101110110
huge         885  ●○●○●●●○●●○       01101110101  10101110110
human        886  ○●●○●●●○●●○       01101110110  01101110110
humble       887  ●●●○●●●○●●○       01101110111  11101110110
humor        888  ○○○●●●●○●●○       01101111000  00011110110
hundred      889  ●○○●●●●○●●○       01101111001  10011110110
hungry       890  ○●○●●●●○●●○       01101111010  01011110110
hunt         891  ●●○●●●●○●●○       01101111011  11011110110
hurdle       892  ○○●●●●●○●●○       01101111100  00111110110
hurry        893  ●○●●●●●○●●○       01101111101  10111110110
hurt         894  ○●●●●●●○●●○       01101111110  01111110110
husband      895  ●●●●●●●○●●○       01101111111  11111110110
hybrid       896  ○○○○○○○●●●○       01110000000  00000001110
ice          897  ●○○○○○○●●●○       01110000001  10000001110
icon         898  ○●○○○○○●●●○       01110000010  01000001110
idea         899  ●●○○○○○●●●○       01110000011  11000001110
identify     900  ○○●○○○○●●●○       01110000100  00100001110
idle         901  ●○●○○○○●●●○       01110000101  10100001110
ignore       902  ○●●○○○○●●●○       01110000110  01100001110
ill          903  ●●●○○○○●●●○       01110000111  11100001110
illegal      904  ○○○●○○○●●●○       01110001000  00010001110
illness      905  ●○○●○○○●●●○       01110001001  10010001110
image        906  ○●○●○○○●●●○       01110001010  01010001110
imitate      907  ●●○●○○○●●●○       01110001011  11010001110
immense      908  ○○●●○○○●●●○       01110001100  00110001110
immune       909  ●○●●○○○●●●○       01110001101  10110001110
impact       910  ○●●●○○○●●●○       01110001110  01110001110
impose       911  ●●●●○○○●●●○       01110001111  11110001110
improve      912  ○○○○●○○●●●○       01110010000  00001001110
impulse      913  ●○○○●○○●●●○       01110010001  10001001110
inch         914  ○●○○●○○●●●○       01110010010  01001001110
include      915  ●●○○●○○●●●○       01110010011  11001001110
income       916  ○○●○●○○●●●○       01110010100  00101001110
increase     917  ●○●○●○○●●●○       01110010101  10101001110
index        918  ○●●○●○○●●●○       01110010110  01101001110
indicate     919  ●●●○●○○●●●○       01110010111  11101001110
indoor       920  ○○○●●○○●●●○       01110011000  00011001110
industry     921  ●○○●●○○●●●○       01110011001  10011001110
infant       922  ○●○●●○○●●●○       01110011010  01011001110
inflict      923  ●●○●●○○●●●○       01110011011  11011001110
inform       924  ○○●●●○○●●●○       01110011100  00111001110
inhale       925  ●○●●●○○●●●○       01110011101  10111001110
inherit      926  ○●●●●○○●●●○       01110011110  01111001110
initial      927  ●●●●●○○●●●○       01110011111  11111001110
inject       928  ○○○○○●○●●●○       01110100000  00000101110
injury       929  ●○○○○●○●●●○       01110100001  10000101110
inmate       930  ○●○○○●○●●●○       01110100010  01000101110
inner        931  ●●○○○●○●●●○       01110100011  11000101110
innocent     932  ○○●○○●○●●●○       01110100100  00100101110
input        933  ●○●○○●○●●●○       01110100101  10100101110
inquiry      934  ○●●○○●○●●●○       01110100110  01100101110
insane       935  ●●●○○●○●●●○       01110100111  11100101110
insect       936  ○○○●○●○●●●○       01110101000  00010101110
inside       937  ●○○●○●○●●●○       01110101001  10010101110
inspire      938  ○●○●○●○●●●○       01110101010  01010101110
install      939  ●●○●○●○●●●○       01110101011  11010101110
intact       940  ○○●●○●○●●●○       01110101100  00110101110
interest     941  ●○●●○●○●●●○       01110101101  10110101110
into         942  ○●●●○●○●●●○       01110101110  01110101110
invest       943  ●●●●○●○●●●○       01110101111  11110101110
invite       944  ○○○○●●○●●●○       01110110000  00001101110
involve      945  ●○○○●●○●●●○       01110110001  10001101110
iron         946  ○●○○●●○●●●○       01110110010  01001101110
island       947  ●●○○●●○●●●○       01110110011  11001101110
isolate      948  ○○●○●●○●●●○       01110110100  00101101110
issue        949  ●○●○●●○●●●○       01110110101  10101101110
item         950  ○●●○●●○●●●○       01110110110  01101101110
ivory        951  ●●●○●●○●●●○       01110110111  11101101110
jacket       952  ○○○●●●○●●●○       01110111000  00011101110
jaguar       953  ●○○●●●○●●●○       01110111001  10011101110
jar          954  ○●○●●●○●●●○       01110111010  01011101110
jazz         955  ●●○●●●○●●●○       01110111011  11011101110
jealous      956  ○○●●●●○●●●○       01110111100  00111101110
jeans        957  ●○●●●●○●●●○       01110111101  10111101110
jelly        958  ○●●●●●○●●●○       01110111110  01111101110
jewel        959  ●●●●●●○●●●○       01110111111  11111101110
job          960  ○○○○○○●●●●○       01111000000  00000011110
join         961  ●○○○○○●●●●○       01111000001  10000011110
joke         962  ○●○○○○●●●●○       01111000010  01000011110
journey      963  ●●○○○○●●●●○       01111000011  11000011110
joy          964  ○○●○○○●●●●○       01111000100  00100011110
judge        965  ●○●○○○●●●●○       01111000101  10100011110
juice        966  ○●●○○○●●●●○       01111000110  01100011110
jump         967  ●●●○○○●●●●○       01111000111  11100011110
jungle       968  ○○○●○○●●●●○       01111001000  00010011110
junior       969  ●○○●○○●●●●○       01111001001  10010011110
junk         970  ○●○●○○●●●●○       01111001010  01010011110
just         971  ●●○●○○●●●●○       01111001011  11010011110
kangaroo     972  ○○●●○○●●●●○       01111001100  00110011110
keen         973  ●○●●○○●●●●○       01111001101  10110011110
keep         974  ○●●●○○●●●●○       01111001110  01110011110
ketchup      975  ●●●●○○●●●●○       01111001111  11110011110
key          976  ○○○○●○●●●●○       01111010000  00001011110
kick         977  ●○○○●○●●●●○       01111010001  10001011110
kid          978  ○●○○●○●●●●○       01111010010  01001011110
kidney       979  ●●○○●○●●●●○       01111010011  11001011110
kind         980  ○○●○●○●●●●○       01111010100  00101011110
kingdom      981  ●○●○●○●●●●○       01111010101  10101011110
kiss         982  ○●●○●○●●●●○       01111010110  01101011110
kit          983  ●●●○●○●●●●○       01111010111  11101011110
kitchen      984  ○○○●●○●●●●○       01111011000  00011011110
kite         985  ●○○●●○●●●●○       01111011001  10011011110
kitten       986  ○●○●●○●●●●○       01111011010  01011011110
kiwi         987  ●●○●●○●●●●○       01111011011  11011011110
